personalParticipantCode;generalLoginCode;committed;scheduled;published;osVersion;smartphoneType;screening;description;delay;duration;groupsize;partner_gender;partner_close;interaction_quality;interaction_intimacy;interaction_control;interaction_intensity;emo_happy;emo_sad;emo_nervous;emo_surprise;emo_angry;emo_embarrassed;emo_ashamed;dataquality
67wibffe;EMOTIONALITY;10-Mar-2025 09:49:51;09-Mar-2025 18:55:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 09:19:01;08-Mar-2025 09:11:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;Son sport;1;3;2;2;7;4;5;3;3;4;1;3;1;1;1;1;1
67wibffe;EMOTIONALITY;10-Mar-2025 15:39:18;10-Mar-2025 15:37:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 18:07:00;08-Mar-2025 16:34:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;-1;1;1;2;1;7;3;3;3;4;3;2;1;4;1;1;1;1
67wibffe;EMOTIONALITY;09-Mar-2025 15:54:40;09-Mar-2025 15:15:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 18:05:37;08-Mar-2025 11:49:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;Friend;3;4;3;2;5;3;3;3;4;4;1;2;2;1;1;1;1
67wibffe;EMOTIONALITY;09-Mar-2025 12:29:56;09-Mar-2025 12:25:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 18:05:43;08-Mar-2025 13:21:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;10-Mar-2025 09:54:09;10-Mar-2025 09:47:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;Breakfast ;3;2;2;2;7;3;4;1;4;2;3;5;2;1;3;3;1
67wibffe;EMOTIONALITY;09-Mar-2025 11:35:41;09-Mar-2025 11:04:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;Familie;1;3;5;1;7;3;4;4;4;2;4;3;3;4;1;1;1
67wibffe;EMOTIONALITY;09-Mar-2025 12:29:51;09-Mar-2025 11:52:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 18:04:07;08-Mar-2025 09:57:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
s4sm1bs4;EMOTIONALITY;11-Mar-2025 07:23:07;10-Mar-2025 14:35:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Talking to my mum;4;2;2;1;7;5;4;2;4;5;1;1;1;1;1;1;1
s4sm1bs4;EMOTIONALITY;11-Mar-2025 11:11:59;11-Mar-2025 11:04:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Meeting co-worker;1;1;2;1;3;2;1;3;1;3;1;2;1;1;1;1;1
s4sm1bs4;EMOTIONALITY;11-Mar-2025 21:04:47;11-Mar-2025 20:10:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Talking to co worker;4;2;2;1;1;2;1;5;3;2;1;4;3;1;1;1;1
s4sm1bs4;EMOTIONALITY;11-Mar-2025 07:24:29;10-Mar-2025 16:36:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
s4sm1bs4;EMOTIONALITY;09-Mar-2025 10:28:58;08-Mar-2025 19:46:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
s4sm1bs4;EMOTIONALITY;09-Mar-2025 10:32:17;09-Mar-2025 10:25:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Smalltalk with stranger;2;1;2;2;1;1;1;4;5;2;2;4;5;4;1;1;1
